question_id,question_text,min_year,max_year,n_rows,question_text_corrected
QUO1,Indicator of baby being discharged from hospital within 48 hours of birth. (for vaginal deliveries only),2000,2011,327,Indicator of baby being discharged from hospital within 48 hours of birth. (for vaginal deliveries only)
QUO10,Indicator of infant checkup within 1 week of hospital discharge for infants discharged within 48 hours,2000,2011,327,Indicator of infant checkup within 1 week of hospital discharge for infants discharged within 48 hours
QUO100,Indicator of drinking any alcohol during the past two years,2000,2011,327,Indicator of drinking any alcohol during the past two years
QUO101,Was your baby seen by a doctor  nurse or other health care provider in the first week after he or she left the hospital?,2000,2011,327,"Was your baby seen by a doctor, nurse or other health care provider in the first week after leaving the hospital?"
QUO102,Reason for not getting H1N1 flu shot during pregnancy - shot was not available,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - shot was not available
QUO103,Indicator of receiving H1N1 flu shot during pregnancy,2009,2009,27,Indicator of receiving H1N1 flu shot during pregnancy
QUO104,Reason for not getting H1N1 flu shot during pregnancy - normally do not get a flu shot,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - normally do not get a flu shot
QUO105,During your  pregnancy  did a doctor  nurse  or other health care worker offer you an H1N1 flu shot or tell you to get one?,2009,2009,27,During your  pregnancy  did a doctor  nurse  or other health care worker offer you an H1N1 flu shot or tell you to get one?
QUO106,Reason for not getting H1N1 flu shot during pregnancy - some other reason,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - some other reason
QUO108,Reason for not getting H1N1 flu shot during pregnancy - doctor did not mention anything about getting the shot,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - doctor did not mention anything about getting the shot
QUO11,Indicator of Not Getting PNC as Soon as Desired Among Women Who Began PNC Late or Not at All,2000,2011,327,Indicator of Not Getting PNC as Soon as Desired Among Women Who Began PNC Late or Not at All
QUO110,Reason for not getting H1N1 flu shot during pregnancy - afraid it would harm baby,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - afraid it would harm baby
QUO111,Reason for not getting H1N1 flu shot during pregnancy - worried about side effects,2009,2009,27,Reason for not getting H1N1 flu shot during pregnancy - worried about side effects
QUO113,Indicator of receiving seasonal flu shot during pregnancy,2009,2009,27,Indicator of receiving seasonal flu shot during pregnancy
QUO114,Reason for not getting seasonal flu shot during pregnancy - normally do not get a flu shot,2009,2009,27,Reason for not getting seasonal flu shot during pregnancy - normally do not get a flu shot
QUO115,During your  pregnancy  did a doctor  nurse  or other health care worker offer you a seasonal flu shot or tell you to get one?,2009,2009,27,During your  pregnancy  did a doctor  nurse  or other health care worker offer you a seasonal flu shot or tell you to get one?
QUO116,Reason for not getting seasonal flu shot during pregnancy - some other reason,2009,2009,27,Reason for not getting seasonal flu shot during pregnancy - some other reason
QUO117,Reason for not getting seasonal flu shot during pregnancy - doctor did not mention anything about getting the shot,2009,2009,27,Reason for not getting seasonal flu shot during pregnancy - doctor did not mention anything about getting the shot
QUO119,Reason for not getting seasonal flu shot during pregnancy - afraid it would harm baby,2009,2009,27,Reason for not getting seasonal flu shot during pregnancy - afraid it would harm baby
QUO12,Indicator of whether baby is exposed to cigarette smoke.,2000,2008,241,Indicator of whether baby is exposed to cigarette smoke.
QUO120,Reason for not getting seasonal flu shot during pregnancy - worried about side effects,2009,2009,27,Reason for not getting seasonal flu shot during pregnancy - worried about side effects
QUO121,During your most recent pregnancy  did a doctor  nurse or other health care worker tell you that you had the flu?,2009,2009,27,During your most recent pregnancy  did a doctor  nurse or other health care worker tell you that you had the flu?
QUO122,At any time during your most recent pregnancy  were you sick with a fever?,2009,2009,27,At any time during your most recent pregnancy  were you sick with a fever?
QUO123,Indicator of hospitalization for the flu during pregnancy among those told they had the flu,2009,2009,27,Indicator of hospitalization for the flu during pregnancy among those told they had the flu
QUO124,Indicator of receiving any flu shot(s) during pregnancy,2009,2009,27,Indicator of receiving any flu shot(s) during pregnancy
QUO126,Have you ever heard or read that taking the vitamin folic acid can help prevent some birth defects?,2000,2011,106,Have you ever heard or read that taking the vitamin folic acid can help prevent some birth defects?
QUO129,During the 3 months before you got pregnant with your new baby  did you have asthma?,2002,2011,63,During the 3 months before you got pregnant with your new baby  did you have asthma?
QUO130,(*PCH) During the 3 months before you got pregnant with your new baby  did you have high blood pressure (hypertension)?,2002,2011,63,(*PCH) During the 3 months before you got pregnant with your new baby  did you have high blood pressure (hypertension)?
QUO131,During the 3 months before you got pregnant with your new baby  did you have heart problems?,2002,2011,63,During the 3 months before you got pregnant with your new baby  did you have heart problems?
QUO132,During the 3 months before you got pregnant with your new baby  did you have anemia (poor blood  low iron)?,2002,2011,63,During the 3 months before you got pregnant with your new baby  did you have anemia (poor blood  low iron)?
QUO133,During the 3 months before you got pregnant with your new baby  did you have depression?,2009,2011,33,During the 3 months before you got pregnant with your new baby  did you have depression?
QUO134,During the 3 months before you got pregnant with your new baby  did you have epilepsy (seizures)?,2009,2011,33,During the 3 months before you got pregnant with your new baby  did you have epilepsy (seizures)?
QUO135,During the 3 months before you got pregnant with your new baby  did you have thyroid problems?,2009,2011,33,During the 3 months before you got pregnant with your new baby  did you have thyroid problems?
QUO136,Reason for refusing HIV test - afraid of getting test results,2004,2011,51,Reason for refusing HIV test - afraid of getting test results
QUO137,Reason for refusing HIV test - previously tested for HIV,2004,2011,75,Reason for refusing HIV test - previously tested for HIV
QUO138,Reason for refusing HIV test - some other reason,2004,2011,74,Reason for refusing HIV test - some other reason
QUO139,Reason for refusing HIV test - did not think she was at risk for HIV,2004,2011,76,Reason for refusing HIV test - did not think she was at risk for HIV
QUO14,At any time during your most recent pregnancy or delivery  did you have a test for HIV?,2000,2011,273,At any time during your most recent pregnancy or delivery  did you have a test for HIV?
